Vertices;Fill;Avarage Time
5;25;2.8039e-06
5;50;3.1224e-06
5;75;3.4934e-06
5;100;3.5713e-06
50;25;0.000590391
50;50;0.00104991
50;75;0.00157602
50;100;0.00195684
100;25;0.0042458
100;50;0.0081337
100;75;0.012254
100;100;0.0163635
250;25;0.0618669
250;50;0.119573
250;75;0.176571
250;100;0.2339
500;25;0.475717
500;50;0.939419
500;75;1.40557
500;100;1.87123
