Vertices;Fill;Avarage Time
5;25;6.0032e-06
5;50;6.8679e-06
5;75;7.5884e-06
5;100;8.4125e-06
50;25;0.000762257
50;50;0.00137406
50;75;0.00215884
50;100;0.00263868
100;25;0.00521022
100;50;0.00989821
100;75;0.0156423
100;100;0.0203989
250;25;0.0740219
250;50;0.14929
250;75;0.218158
250;100;0.290357
500;25;0.581692
500;50;1.1563
500;75;1.74392
500;100;2.31515
