Vertices;Fill;Avarage Time
5;25;2.1174e-06
5;50;2.358e-06
5;75;2.1179e-06
5;100;1.968e-06
50;25;0.0015871
50;50;0.00184794
50;75;0.00153584
50;100;0.00179752
100;25;0.0136322
100;50;0.0139255
100;75;0.0123506
100;100;0.0118909
250;25;0.209129
250;50;0.203779
250;75;0.188027
250;100;0.18703
500;25;1.65096
500;50;1.63044
500;75;1.50438
500;100;1.49371
