Vertices;Fill;Avarage Time
5;25;1.6195e-06
5;50;2.4081e-06
5;75;3.2403e-06
5;100;4.008e-06
50;25;0.000993521
50;50;0.00220523
50;75;0.0027994
50;100;0.00411187
100;25;0.00770881
100;50;0.0158149
100;75;0.0227296
100;100;0.030739
250;25;0.124083
250;50;0.244584
250;75;0.361226
250;100;0.45861
500;25;0.92015
500;50;1.82653
500;75;2.73603
500;100;3.67175
