Vertices;Fill;Avarage Time
5;25;3.3629e-06
5;50;4.6356e-06
5;75;5.4786e-06
5;100;5.9244e-06
50;25;0.00019683
50;50;0.000288539
50;75;0.000346745
50;100;0.000497353
100;25;0.000789972
100;50;0.00124398
100;75;0.00161419
100;100;0.00183699
250;25;0.0054229
250;50;0.00862509
250;75;0.0125467
250;100;0.0152151
500;25;0.0202147
500;50;0.0359903
500;75;0.0535358
500;100;0.0693943
