Vertices;Fill;Avarage Time
5;25;7.2573e-06
5;50;6.4715e-06
5;75;6.4724e-06
5;100;6.4925e-06
50;25;0.00018803
50;50;0.000195322
50;75;0.000160442
50;100;0.000190648
100;25;0.000560914
100;50;0.000611525
100;75;0.000579607
100;100;0.000607609
250;25;0.00310136
250;50;0.00342917
250;75;0.00319391
250;100;0.00314792
500;25;0.0119504
500;50;0.0130453
500;75;0.0124364
500;100;0.0123249
